기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처
Cummins,CMI,2021Q3,2021-10-03,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),8082000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617221000057/,,https://www.sec.gov/Archives/edgar/data/26172/000002617221000057/
Cummins,CMI,2021Q4,2021-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),23710000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617222000008/,,https://www.sec.gov/Archives/edgar/data/26172/000002617222000008/
Cummins,CMI,2021Q4,2021-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),14309000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617222000008/,,https://www.sec.gov/Archives/edgar/data/26172/000002617222000008/
Cummins,CMI,2021Q4,2021-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),9401000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617222000008/,,https://www.sec.gov/Archives/edgar/data/26172/000002617222000008/
Cummins,CMI,2021Q4,2021-12-31,분기말 지배지분 자본,재작성 반영,8474000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617222000008/,8146000000,https://www.sec.gov/Archives/edgar/data/26172/000002617223000005/
Cummins,CMI,2022Q1,2022-03-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),24122000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617222000021/,,https://www.sec.gov/Archives/edgar/data/26172/000002617222000021/
Cummins,CMI,2022Q1,2022-03-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),14759000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617222000021/,,https://www.sec.gov/Archives/edgar/data/26172/000002617222000021/
Cummins,CMI,2022Q1,2022-03-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),9363000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617222000021/,,https://www.sec.gov/Archives/edgar/data/26172/000002617222000021/
Cummins,CMI,2022Q1,2022-03-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),8436000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617222000021/,,https://www.sec.gov/Archives/edgar/data/26172/000002617222000021/
Cummins,CMI,2022Q2,2022-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),24477000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617222000046/,,https://www.sec.gov/Archives/edgar/data/26172/000002617222000046/
Cummins,CMI,2022Q2,2022-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),14822000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617222000046/,,https://www.sec.gov/Archives/edgar/data/26172/000002617222000046/
Cummins,CMI,2022Q2,2022-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),9655000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617222000046/,,https://www.sec.gov/Archives/edgar/data/26172/000002617222000046/
Cummins,CMI,2022Q2,2022-06-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),8738000000,공시,https://www.sec.gov/Archives/edgar/data/26172/000002617222000046/,,https://www.sec.gov/Archives/edgar/data/26172/000002617222000046/
Carvana,CVNA,2019Q1,2019-03-31,분기별 당기순이익(지배),재작성 반영,-28549000,공시,https://www.sec.gov/Archives/edgar/data/1690820/000169082019000102/,-23115000,https://www.sec.gov/Archives/edgar/data/1690820/000169082021000069/
Carvana,CVNA,2019Q2,2019-06-30,분기별 당기순이익(지배),재작성 반영,-26610000,공시,https://www.sec.gov/Archives/edgar/data/1690820/000169082019000193/,-20323000,https://www.sec.gov/Archives/edgar/data/1690820/000169082021000069/
Carvana,CVNA,2019Q3,2019-09-30,분기별 당기순이익(지배),재작성 반영,-39017000,공시,https://www.sec.gov/Archives/edgar/data/1690820/000169082019000269/,-30088000,https://www.sec.gov/Archives/edgar/data/1690820/000169082021000069/
Carvana,CVNA,2019Q4,2019-12-31,분기별 당기순이익(지배),재작성 반영,-20483000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1690820/000169082020000052/ ; https://www.sec.gov/Archives/edgar/data/1690820/000169082019000269/,-41133000,https://www.sec.gov/Archives/edgar/data/1690820/000169082020000052/ ; https://www.sec.gov/Archives/edgar/data/1690820/000169082020000265/
Kinder Morgan,KMI,2019Q1,2019-03-31,분기말 총자본(자기자본),재작성 반영,34456000000,공시,https://www.sec.gov/Archives/edgar/data/1506307/000150630719000079/,34455000000,https://www.sec.gov/Archives/edgar/data/1506307/000150630720000067/
Kinder Morgan,KMI,2019Q2,2019-06-30,분기말 총자본(자기자본),재작성 반영,34484000000,공시,https://www.sec.gov/Archives/edgar/data/1506307/000150630719000129/,34485000000,https://www.sec.gov/Archives/edgar/data/1506307/000150630720000097/
